electricity_usage,car_km,flights_short,flights_long,diet_type,shopping_freq,water_usage,carbon_footprint
450,1475,1,0,1,4,173,875.557
403,611,0,0,1,18,206,573.3140000000001
370,1873,0,0,2,2,310,752.79
555,910,1,0,0,17,244,887.296
561,818,0,0,1,5,379,552.631
314,140,1,0,2,5,400,663.48
351,1106,0,0,0,4,380,462.04
289,176,0,0,2,0,305,359.325
395,197,0,0,0,7,473,329.557
312,623,1,0,2,0,249,707.881
307,1591,1,0,0,5,421,800.9290000000001
336,1995,0,0,0,19,435,784.035
437,690,1,0,0,13,117,752.593
466,1444,0,0,0,10,495,638.975
152,400,0,0,2,1,129,355.00100000000003
379,1721,1,0,1,3,282,885.9180000000001
509,470,0,0,0,12,235,479.895
316,217,0,0,0,6,154,287.50600000000003
351,1948,0,0,0,5,374,640.386
287,928,0,0,0,2,491,380.55899999999997
479,1851,0,0,2,8,468,855.592
592,1752,0,0,1,13,191,830.759
140,631,0,0,1,19,448,479.032
256,950,0,0,1,10,439,501.471
114,905,1,0,2,4,321,721.769
400,174,1,0,1,13,392,686.328
164,22,0,0,2,18,173,454.837
444,1748,1,0,2,7,272,1058.528
426,1940,0,0,0,6,223,678.9269999999999
108,234,1,0,2,6,240,604.3199999999999
443,1036,0,0,1,2,189,514.961
228,1124,0,0,1,2,346,443.674
591,928,0,0,1,17,168,705.332
235,1559,0,0,0,12,324,583.416
571,1899,0,0,0,0,125,670.745
162,522,0,0,0,4,158,263.862
238,1808,0,0,2,3,168,693.0719999999999
598,1475,0,0,1,15,418,799.9219999999999
180,430,0,0,2,14,307,504.363
491,792,0,0,2,17,69,735.241
262,1629,0,0,1,16,168,697.352
518,1736,0,0,0,13,400,748.36
388,532,0,0,1,13,186,501.034
478,1875,0,0,2,18,326,958.694
360,978,0,0,2,5,304,599.536
589,1746,1,0,0,12,313,1019.397
330,1675,0,0,2,17,216,845.544
140,1316,0,0,2,14,214,663.926
127,809,0,0,1,6,78,375.842
234,912,1,0,0,18,84,761.436
300,1124,0,0,1,16,286,613.3739999999999
427,1525,0,0,1,8,343,667.427
367,1327,2,1,1,10,139,2220.791
517,870,0,0,2,4,252,633.408
132,539,0,0,2,1,277,375.733
147,1023,1,0,0,14,468,710.552
506,1576,0,0,2,11,117,838.773
161,1378,0,0,0,9,180,484.84000000000003
315,1326,0,0,1,9,414,591.226
392,1519,0,0,1,19,160,759.8800000000001
198,1681,1,0,2,10,61,969.909
271,1791,0,0,2,9,337,765.053
459,1997,0,0,0,6,224,704.196
313,226,0,0,2,13,368,509.97200000000004
574,1259,0,0,2,12,203,814.707
134,872,0,0,2,4,92,471.508
548,891,0,0,1,18,412,692.068
326,1478,0,0,2,9,254,724.8059999999999
200,1036,0,0,2,7,221,563.1890000000001
530,209,0,0,1,17,343,537.487
561,740,2,0,1,0,334,986.626
230,396,0,0,1,4,360,319.04
356,1123,1,0,1,10,101,825.029
104,30,0,0,2,19,164,441.156
317,897,1,0,2,10,68,863.1519999999999
354,1551,0,0,2,15,84,809.6360000000001
497,648,1,0,0,9,97,729.213
458,328,0,0,1,14,282,500.498
382,1189,0,1,2,6,268,1760.652
492,1482,0,0,2,14,159,844.471
306,1845,0,0,2,15,303,850.247
114,951,0,0,1,5,237,390.213
445,1123,1,0,1,10,80,862.22
141,620,0,0,1,16,308,445.992
479,1878,0,0,2,14,212,918.688
560,1196,0,0,1,15,393,727.937
278,1772,0,0,2,1,357,684.373
162,161,2,0,0,3,120,681.32
451,1928,0,0,1,18,356,858.2239999999999
330,1751,0,0,1,5,105,639.7450000000001
340,775,0,0,2,17,148,669.132
151,1286,0,0,1,10,70,521.25
195,1827,0,0,1,8,434,631.2059999999999
487,273,1,0,2,2,157,730.553
321,1026,0,0,2,1,102,550.938
584,1051,0,0,2,17,55,825.975
506,325,0,0,0,14,280,470.03999999999996
330,939,0,0,2,17,131,697.579
336,1172,0,0,1,18,495,659.975
242,539,0,0,0,14,266,401.834
270,487,0,0,2,16,384,574.256
128,821,0,1,0,17,96,1538.824
135,1461,0,0,0,17,401,572.509
112,1088,0,0,1,10,411,468.33900000000006
259,355,0,0,0,17,290,402.39
426,1556,0,0,2,2,227,712.163
286,1275,0,0,0,12,131,546.299
342,234,0,1,0,13,336,1473.464
185,226,0,0,1,3,241,255.06900000000002
383,1548,0,0,1,17,462,744.618
165,1336,0,0,2,4,192,578.228
269,48,0,0,1,13,363,355.847
144,117,0,0,2,11,328,396.832
161,53,0,0,2,6,471,342.459
540,1673,1,0,1,11,90,1022.2099999999999
233,564,1,0,0,7,320,583.5400000000001
383,1067,0,0,1,2,136,495.484
127,1838,1,0,0,0,52,721.408
207,52,0,0,0,2,260,169.68
143,1609,0,0,2,10,50,682.3100000000001
439,557,0,0,2,17,124,666.896
385,1548,0,0,1,6,444,635.2959999999999
545,1700,0,0,0,8,493,703.337
430,1125,1,0,1,3,280,788.12
227,1815,2,0,2,9,498,1252.8220000000001
447,1793,0,0,0,17,125,767.465
572,1872,2,0,1,15,309,1367.4209999999998
330,867,0,0,1,11,74,522.666
289,397,0,0,2,18,249,583.021
324,1161,0,0,2,2,476,592.564
484,674,0,0,2,7,143,609.3670000000001
476,1944,0,0,2,18,473,972.977
382,386,0,0,1,8,401,421.24899999999997
545,110,0,0,2,18,157,632.313
220,613,0,0,2,16,404,578.636
215,16,0,0,1,12,144,314.796
560,1803,0,0,1,1,405,709.4449999999999
332,1205,0,0,0,3,140,461.7
358,883,0,1,1,10,93,1627.797
458,1559,0,0,0,1,492,568.588
297,540,0,0,2,3,433,466.637
555,170,1,0,0,3,72,597.748
510,408,0,0,0,19,239,537.9509999999999
236,739,0,0,2,0,72,447.56800000000004
417,1401,1,0,2,10,283,1007.887
264,1211,0,0,2,1,235,565.195
324,857,0,0,0,18,360,540.72
406,229,0,0,1,7,466,390.514
333,1856,0,0,1,19,382,804.498
271,1875,0,0,1,3,112,619.828
251,118,0,0,2,15,152,480.388
562,1179,0,0,2,14,365,815.125
414,783,0,0,1,4,238,472.622
473,1710,0,0,2,4,385,784.125
259,464,1,0,0,14,238,643.7220000000001
195,103,1,0,0,16,400,566.1
571,1627,0,0,2,2,118,786.282
332,697,0,0,1,17,163,550.307
279,1995,1,0,1,10,153,967.5569999999999
212,1818,0,1,0,5,157,1654.0529999999999
417,1525,0,0,2,11,394,793.686
596,1716,0,0,1,16,70,854.15
541,1705,0,0,1,13,436,802.144
151,1722,0,0,2,5,481,662.149
367,174,0,0,2,9,315,481.775
394,1757,0,0,1,15,392,770.408
485,744,0,0,2,17,258,724.822
486,1697,0,0,2,19,219,935.491
212,1444,0,0,2,5,243,630.027
200,1157,0,0,1,18,396,598.9639999999999
212,1414,0,0,0,2,479,446.151
539,1759,0,0,2,11,442,892.158
180,1524,2,0,1,15,172,1131.948
286,664,0,0,0,2,226,324.954
212,32,0,0,1,15,53,345.917
101,54,0,0,1,3,237,185.353
229,1977,0,0,1,19,395,785.135
319,518,0,0,0,12,401,411.18899999999996
153,755,0,0,1,3,78,345.962
442,1848,1,1,0,3,135,1986.455
584,1661,0,0,2,6,96,838.344
323,11,0,0,0,11,126,298.994
324,1551,0,0,1,1,392,559.808
484,719,0,0,0,15,240,549.24
502,554,0,0,1,6,80,482.36
225,372,0,0,2,18,356,552.1039999999999
229,483,0,0,0,10,218,344.74199999999996
152,972,0,0,2,0,85,459.005
271,1670,0,0,0,8,294,580.4659999999999
317,1251,0,0,1,4,473,527.597
259,622,0,0,0,16,400,446.78000000000003
297,306,0,0,2,0,237,388.073
515,456,0,0,0,16,64,518.076
346,159,0,0,2,11,383,490.567
423,330,0,0,2,12,265,566.045
538,775,0,0,1,10,207,582.8230000000001
302,224,1,0,0,12,463,595.807
283,982,0,0,2,12,204,637.096
222,728,0,0,1,5,290,391.45
500,1527,1,0,1,5,345,918.5050000000001
354,1479,0,0,1,19,94,735.326
393,1068,0,0,2,9,224,670.676
379,1237,0,0,0,18,395,640.135
424,1082,0,0,2,2,105,615.4250000000001
471,643,0,0,1,6,103,487.347
197,615,0,0,2,4,390,449.25
297,194,1,0,2,7,314,686.366
569,1948,0,0,1,4,423,772.3870000000001
494,488,0,0,0,11,288,467.67199999999997
339,156,0,0,1,3,370,306.90999999999997
243,609,0,0,1,18,157,505.273
196,1249,0,0,2,17,247,704.343
300,411,0,0,1,2,434,332.106
223,1228,0,0,2,6,263,601.627
286,1102,0,0,1,7,295,513.175
425,1147,0,0,1,14,446,651.914
563,470,0,0,0,16,87,541.243
448,1963,0,0,1,18,222,862.758
358,1241,0,0,0,3,154,479.946
247,515,1,0,1,15,89,707.541
351,1625,0,0,1,12,448,696.452
542,1127,0,0,1,11,483,667.387
519,392,0,1,0,3,179,1477.9910000000002
502,630,0,0,2,11,230,648.9100000000001
445,1668,0,0,0,16,459,734.631
550,1847,0,0,1,8,243,782.5870000000001
246,607,0,0,2,11,380,538.14
247,979,1,0,1,14,338,792.582
451,433,0,0,0,19,390,519.53
298,1354,0,0,0,1,108,456.932
407,1166,0,0,2,8,400,687.74
588,1823,0,0,0,13,75,792.2349999999999
516,539,0,0,1,3,152,455.888
523,277,0,0,2,3,70,505.69
227,232,0,0,1,5,482,296.07800000000003
138,1552,0,0,2,4,129,609.521
437,1594,0,0,2,16,376,865.724
459,1113,0,0,1,12,248,637.612
228,1515,0,0,0,19,371,642.099
366,1222,0,0,1,16,86,658.894
575,361,0,0,0,18,63,544.267
540,1464,0,0,0,0,270,572.03
572,25,0,0,1,16,413,508.957
533,1048,1,1,2,2,440,2007.42
250,1417,0,0,1,13,215,620.335
514,506,0,0,2,11,222,629.078
577,1324,0,0,0,14,199,698.931
397,1362,1,0,2,5,221,941.129
198,266,0,0,1,19,130,427.53000000000003
362,460,0,0,2,1,385,457.50499999999994
351,1716,0,0,0,3,274,573.086
243,455,0,0,0,12,408,366.732
445,1383,0,0,2,12,84,784.256
211,1091,0,0,0,16,407,520.483
599,1006,0,0,0,5,237,554.913
159,862,0,0,2,10,273,541.6370000000001
468,1435,1,0,0,18,180,965.18
101,1994,1,0,2,15,423,1045.027
484,490,0,0,2,7,400,574.88
403,1856,0,0,0,0,360,593.7
353,1072,0,1,2,9,58,1753.1819999999998
239,1710,0,0,0,1,118,503.442
552,563,0,0,0,18,77,575.133
136,1125,1,0,0,13,448,716.152
259,215,0,0,1,2,418,275.542
108,1461,1,0,0,8,283,720.107
332,1723,0,0,2,7,80,754.76
198,1592,0,0,2,10,364,704.836
246,558,1,0,2,14,281,807.4490000000001
403,158,1,0,1,5,387,604.343
307,488,1,0,1,1,103,587.467
230,685,0,0,2,0,224,435.61600000000004
503,1265,0,0,2,2,347,687.383
251,793,0,0,1,17,328,536.972
153,1776,2,0,2,13,414,1253.1860000000001
219,1905,0,0,0,16,135,684.195
260,4,0,0,0,1,114,171.026
507,1619,1,0,2,18,138,1167.982
215,1843,0,0,0,8,103,589.8270000000001
174,360,0,0,2,7,167,416.58299999999997
212,458,0,0,1,9,410,374.33
555,247,0,0,2,8,278,565.002
519,1589,1,0,1,7,316,958.624
521,1696,0,0,0,6,368,671.332
203,945,0,0,0,5,71,374.899
439,421,0,0,0,1,487,332.96299999999997
353,1946,1,1,2,8,296,2170.1240000000003
326,1761,0,0,1,8,422,672.918
211,14,0,0,1,18,469,375.64099999999996
572,735,0,0,0,8,363,520.5070000000001
198,1596,0,0,0,1,69,462.981
252,1145,0,0,1,18,449,618.881
448,276,0,0,2,15,233,595.457
501,1581,0,0,0,13,398,710.202
483,452,0,0,2,19,99,684.151
465,1413,0,0,0,0,139,529.151
437,1317,0,0,0,12,153,618.317
293,1597,0,0,2,1,243,654.647
409,597,1,0,2,13,432,875.0680000000001
262,445,0,0,2,0,418,402.80199999999996
307,209,0,0,2,14,123,511.84700000000004
544,1613,0,0,1,17,318,823.942
268,713,0,0,1,8,64,435.736
583,301,1,0,0,7,378,678.462
260,1932,0,0,0,6,332,608.5880000000001
167,1246,1,0,0,8,441,703.3090000000001
388,1757,0,0,1,8,247,696.583
497,2,0,0,2,10,483,513.487
376,989,0,0,0,3,393,439.257
403,1541,0,0,1,6,244,639.6560000000001
503,1116,1,0,0,6,459,798.591
483,519,0,0,1,3,85,437.42499999999995
491,1451,0,0,2,11,454,810.506
234,492,1,0,1,16,254,708.966
294,1258,0,0,2,19,357,768.293
500,619,0,0,0,2,188,405.492
227,1184,0,1,2,8,313,1714.9569999999999
132,1744,0,0,1,4,106,545.194
275,1775,0,0,0,19,159,711.931
559,330,0,0,0,15,223,502.787
542,332,0,0,1,7,255,466.335
470,49,0,0,2,15,274,559.666
569,1546,0,0,1,18,435,832.095
474,862,0,0,2,15,113,722.4970000000001
121,1691,1,0,2,17,301,1011.7289999999999
337,1515,0,0,0,14,485,638.905
257,1605,0,0,2,17,498,803.422
137,1704,1,0,0,13,316,831.1840000000001
329,271,0,0,1,15,439,446.331
464,579,0,0,1,4,401,454.289
150,1890,0,0,0,7,381,564.429
537,1275,0,0,0,15,369,683.861
363,559,0,0,2,0,406,467.914
382,695,0,0,0,10,142,450.718
126,1855,0,1,1,10,232,1726.008
325,1722,0,0,0,1,349,544.041
376,1113,0,0,0,18,263,612.887
385,445,0,0,0,4,191,342.419
196,1016,0,0,2,2,132,506.70799999999997
383,1355,0,0,0,7,438,555.802
466,1162,0,0,2,3,148,659.452
547,356,0,0,2,12,330,623.9100000000001
580,1624,2,0,0,13,483,1252.747
552,273,0,0,2,0,151,487.799
416,1042,0,0,0,4,378,476.522
403,310,0,0,1,6,427,395.103
246,869,0,0,1,5,120,428.2
103,885,0,0,2,14,422,564.058
134,153,0,0,1,14,387,330.363
291,1413,0,0,0,7,435,528.735
148,1283,1,0,2,1,421,782.549
116,619,0,0,0,13,315,355.35499999999996
271,882,1,0,2,15,179,891.831
319,796,0,0,2,9,109,584.1610000000001
257,1594,0,0,2,14,350,769.89
576,124,1,0,2,3,441,750.6890000000001
145,1377,0,0,1,11,491,550.7189999999999
472,1296,0,0,1,9,168,648.9519999999999
105,618,0,0,1,1,312,280.50800000000004
198,1834,0,0,2,3,377,683.3530000000001
479,244,0,0,1,19,70,540.61
332,847,0,0,2,5,146,560.154
136,449,1,0,1,13,352,630.0880000000001
379,929,0,0,2,2,50,565.4300000000001
448,1270,0,0,1,14,445,686.165
596,519,0,0,1,0,252,456.388
401,1164,1,0,1,18,481,935.549
280,361,0,0,2,0,177,391.39300000000003
194,7,0,0,2,12,399,406.471
198,477,0,0,1,7,181,350.189
287,1375,0,0,2,17,83,766.2869999999999
580,494,0,0,0,2,136,413.62399999999997
215,1629,0,0,1,17,81,686.8290000000001
290,832,0,0,1,19,308,580.9720000000001
352,1450,0,0,0,8,373,571.197
568,1062,0,0,2,5,362,704.2180000000001
515,592,1,0,2,19,419,978.471
570,186,0,0,2,1,457,490.71299999999997
260,1619,0,0,1,3,82,563.738
355,1623,0,0,1,17,436,747.624
422,753,0,0,1,6,437,491.77299999999997
227,1877,1,0,1,10,335,923.755
117,92,1,0,1,4,375,460.915
380,85,0,0,2,7,98,447.482
589,1067,1,0,0,10,335,863.795
322,136,1,0,2,19,131,803.619
153,420,1,0,2,19,193,789.997
157,73,0,0,1,14,486,324.914
422,1571,0,0,0,2,439,565.3910000000001
459,1636,0,0,0,6,329,632.941
273,1535,0,0,2,7,420,695.4399999999999
379,1179,0,0,0,10,141,546.249
213,1961,0,0,2,9,273,774.1170000000001
387,1278,0,0,2,19,266,810.534
530,170,0,0,2,8,205,538.445
441,1751,0,0,2,14,326,878.354
250,169,0,0,1,19,57,429.313
549,1787,0,1,0,4,85,1778.7450000000001
226,871,0,0,1,14,173,510.677
254,321,0,0,1,3,58,301.402
589,1590,0,0,1,4,89,706.181
485,455,1,0,2,14,228,886.7520000000001
573,943,0,0,2,16,178,790.862
372,1626,0,0,1,7,496,655.9040000000001
203,789,0,0,1,18,422,526.858
516,612,0,0,0,8,117,470.173
492,1178,0,0,1,9,203,634.067
398,888,0,0,2,4,473,589.0169999999999
345,348,0,0,1,9,52,404.968
275,1474,0,0,0,0,413,464.017
138,1899,0,0,0,3,427,521.603
576,1676,1,0,1,4,314,969.946
269,1196,2,0,0,6,465,966.365
346,9,0,0,0,4,53,237.597
125,739,0,0,2,19,311,593.0989999999999
454,1288,2,0,0,7,378,1071.682
405,1461,0,0,0,16,331,675.279
508,1783,0,0,1,0,435,673.875
507,1270,0,0,2,17,499,841.431
112,666,0,0,0,11,419,344.011
415,545,1,0,1,2,134,654.506
490,1522,0,0,1,19,391,803.719
412,128,0,0,1,13,436,432.56399999999996
135,1695,0,1,1,15,84,1746.4560000000001
272,600,0,0,1,17,163,505.707
119,604,0,0,1,9,108,361.75199999999995
420,326,2,0,0,14,87,932.383
363,1776,1,0,2,9,82,1048.3980000000001
593,1858,0,0,2,0,426,824.494
499,979,0,0,1,18,448,689.412
241,403,0,0,1,1,252,294.08799999999997
559,628,1,0,2,12,251,932.639
470,1629,0,0,0,15,149,724.541
570,1698,0,0,1,7,447,753.023
242,1634,0,0,2,2,499,652.931
191,1648,0,0,2,18,350,792.97
453,1382,0,0,1,13,353,699.8370000000001
421,1626,0,0,2,10,477,806.313
387,1881,0,0,0,11,167,700.243
314,717,1,1,2,10,470,1929.51
546,1040,0,0,1,10,292,639.948
441,273,0,0,1,17,78,510.522
150,684,0,1,2,9,276,1592.2839999999999
252,115,0,0,2,15,389,482.34099999999995
285,860,0,0,1,7,262,464.058
162,692,1,0,0,5,467,560.643
289,1114,2,0,2,18,236,1226.304
224,1105,0,0,0,12,162,486.538
249,323,0,0,0,14,422,362.978
413,960,2,0,1,12,348,1088.592
157,113,0,0,1,0,210,190.42999999999998
441,1792,0,0,1,1,68,654.232
404,1081,2,0,0,12,313,1058.6970000000001
279,153,0,0,1,1,208,259.652
269,1900,0,0,1,10,60,693.52
425,1427,0,0,0,12,57,634.4130000000001
370,1651,0,0,0,9,202,627.418
153,1878,0,0,0,14,162,631.318
590,1289,0,0,0,0,197,557.373
543,314,0,0,2,13,87,621.643
200,1738,1,0,1,9,184,873.256
580,1064,0,0,2,17,422,830.198
363,104,0,0,0,10,472,327.508
152,1924,1,0,0,6,284,811.196
159,1913,0,0,0,14,304,642.116
591,1216,0,0,0,2,123,562.527
207,1424,0,0,0,1,377,435.133
104,1301,0,0,1,7,411,477.579
202,353,0,0,2,7,423,429.247
295,1015,1,0,2,10,325,879.8249999999999
361,1772,1,0,1,15,258,1008.342
464,1960,0,0,1,1,316,699.724
579,732,0,0,1,4,193,531.3169999999999
471,1603,0,0,2,6,91,779.239
449,708,0,0,2,19,273,722.637
146,1279,0,0,0,12,395,490.675
454,650,0,0,2,1,101,531.589
410,823,0,0,2,2,470,561.03
523,946,0,0,1,8,357,592.073
407,660,1,0,2,9,186,844.614
243,98,0,0,0,12,468,295.87199999999996
368,587,0,0,2,12,244,594.1560000000001
469,281,0,0,1,4,144,394.476
223,1906,0,0,1,6,440,638.82
205,402,1,0,0,16,307,629.263
257,1132,0,0,0,14,74,525.0060000000001
246,699,0,0,2,4,281,485.649
244,198,0,1,0,6,381,1355.509
219,1326,0,0,0,1,143,418.4669999999999
418,326,0,0,1,17,399,514.351
374,153,0,0,1,9,270,380.10999999999996
191,551,1,0,2,0,346,643.5340000000001
157,1668,0,0,2,13,252,731.808
538,404,0,0,2,18,485,691.125
445,461,0,0,2,15,392,632.628
328,131,0,0,1,18,130,445.13
573,790,0,0,2,5,254,650.9459999999999
216,873,1,0,2,11,498,829.802
417,83,1,0,0,2,429,515.601
378,1422,0,0,2,6,126,704.2940000000001
226,753,0,0,0,2,87,316.303
492,627,0,0,1,16,244,594.236
495,1132,0,0,2,14,91,775.1189999999999
228,220,0,0,0,18,231,371.839
157,1927,0,0,2,18,294,833.986
221,552,0,0,0,10,244,355.41600000000005
100,1391,0,0,2,19,127,711.3430000000001
338,1170,0,0,1,1,369,489.28100000000006
389,111,0,0,1,6,437,349.513
195,614,0,0,0,18,464,438.876
225,1581,0,0,0,6,174,522.2660000000001
217,923,0,0,1,9,190,467.45
147,1517,0,0,2,11,76,675.8240000000001
188,1528,0,0,0,17,364,607.8359999999999
587,474,0,0,1,5,370,494.67
336,835,0,0,0,19,497,552.593
472,1913,0,0,1,7,330,753.8100000000001
484,270,1,0,1,4,342,650.358
371,420,0,0,0,2,291,312.43899999999996
288,1920,1,0,0,1,285,817.5250000000001
586,706,0,0,1,5,252,539.5880000000001
291,1390,0,0,2,6,429,664.081
546,1303,0,1,1,7,376,1763.304
168,1306,0,0,2,3,191,563.479
377,39,0,0,2,11,143,477.42699999999996
448,1982,1,0,2,11,201,1146.369
346,188,0,0,0,16,302,395.638
550,1187,0,0,1,18,116,749.444
175,993,1,0,1,8,225,704.125
253,1559,0,0,2,11,152,729.428
243,535,0,0,2,16,140,570.3199999999999
534,1027,0,0,2,9,242,721.8580000000001
584,1858,0,0,1,18,215,898.8149999999999
185,289,0,0,2,10,139,436.751
284,1976,0,0,1,19,375,807.855
384,432,0,0,1,12,364,470.956
561,470,1,0,0,3,317,662.473
319,1204,1,0,2,14,487,969.163
168,1271,0,0,2,11,100,635.66
146,627,0,0,2,9,215,478.65500000000003
596,278,0,0,0,6,223,417.927
193,876,0,0,2,1,276,468.74399999999997
337,580,0,0,1,6,315,420.37499999999994
545,862,0,0,2,7,58,671.822
599,253,0,0,1,18,136,583.4040000000001
552,180,0,0,1,5,143,419.127
303,1853,0,0,1,7,101,668.769
499,680,0,0,1,19,228,637.632
317,824,0,0,2,3,327,530.883
573,1532,1,0,0,19,288,1039.652
531,1784,0,0,0,8,122,710.9179999999999
440,699,0,0,1,4,388,468.09200000000004
138,565,0,1,2,5,121,1522.049
199,1349,1,0,0,18,423,837.187
388,1380,0,0,2,11,117,750.013
353,1848,0,0,0,4,54,608.346
321,1673,0,0,1,4,388,612.912
456,679,1,0,1,17,287,849.9029999999999
122,390,0,0,1,5,170,280.77
349,1638,0,0,0,8,462,608.3380000000001
109,1957,0,0,2,10,260,739.5200000000001
345,1108,0,0,1,13,311,599.299
424,1340,0,0,2,1,374,659.4459999999999
199,211,0,0,2,13,107,456.743
389,1538,1,0,1,18,92,1001.808
279,383,0,0,0,9,246,335.99399999999997
322,1714,0,0,1,4,121,619.129
493,341,1,0,1,3,140,656.52
349,1838,0,0,0,6,86,624.9540000000001
246,1987,0,1,2,12,363,1923.987
541,843,0,0,0,9,286,538.394
195,1061,0,0,0,9,432,437.988
356,1534,0,0,1,3,342,589.3979999999999
424,419,0,0,0,15,203,463.707
592,750,0,0,0,14,219,590.611
103,1192,0,0,0,10,321,434.54900000000004
115,1988,2,0,2,18,455,1329.9950000000001
379,1932,0,0,2,2,159,767.0110000000001
435,1366,0,0,1,14,200,697.6999999999999
346,1849,0,2,1,15,480,2969.44
357,305,1,0,2,13,180,792.5600000000001
596,1565,0,0,0,4,317,656.1729999999999
575,701,0,0,1,16,72,642.3480000000001
483,868,0,0,1,17,416,650.2040000000001
259,536,0,1,0,18,188,1547.672
574,1135,0,0,0,0,357,521.2929999999999
439,1434,0,0,0,8,288,603.772
251,1970,0,0,0,13,483,683.767
495,205,0,0,0,19,490,493.31
277,1208,0,0,2,19,241,750.109
262,1405,0,0,0,10,176,542.6239999999999
479,495,1,0,1,1,479,664.491
132,1402,0,0,2,19,78,726.542
516,1070,0,0,1,4,170,572.25
544,1909,1,0,0,14,247,1052.503
278,1763,0,0,1,11,223,681.367
526,1574,1,0,0,13,193,967.457
200,1551,0,0,1,10,228,596.2520000000001
367,503,0,0,1,8,406,438.394
422,1045,0,0,0,19,60,626.78
164,212,1,0,1,7,188,532.972
516,309,1,0,2,11,496,842.984
